,dates,CA,TX,WI
378,2012-02-11,1.05,0.0,0.05
379,2012-02-12,1.1,0.25,0.0
380,2012-02-13,2.9,5.25,1.1
381,2012-02-14,0.15000000000000002,0.1,1.1
382,2012-02-15,10.45,3.45,0.7999999999999999
383,2012-02-16,0.25,0.0,1.1500000000000001
384,2012-02-17,0.0,10.1,0.8
385,2012-02-18,0.0,26.4,0.0
386,2012-02-19,0.30000000000000004,0.0,0.0
387,2012-02-20,0.0,0.8500000000000001,0.25
388,2012-02-21,0.0,0.4,3.55
389,2012-02-22,0.0,0.25,0.35
390,2012-02-23,0.0,0.0,0.95
391,2012-02-24,0.0,0.0,7.6
392,2012-02-25,0.0,0.0,0.05
393,2012-02-26,0.0,0.05,0.15
394,2012-02-27,9.85,2.0,0.25
395,2012-02-28,0.9,1.1,9.85
396,2012-02-29,0.05,3.5999999999999996,17.55
397,2012-03-01,0.2,0.6,0.05
398,2012-03-02,0.0,1.1,8.05
399,2012-03-03,0.0,0.15,1.8499999999999999
400,2012-03-04,0.0,0.0,3.1500000000000004
401,2012-03-05,0.0,0.0,0.4
402,2012-03-06,2.05,0.4,0.1
403,2012-03-07,0.1,1.4,3.05
404,2012-03-08,0.0,4.9,3.3499999999999996
405,2012-03-09,0.0,19.15,0.05
406,2012-03-10,0.0,19.8,0.0
407,2012-03-11,0.05,13.7,0.05
408,2012-03-12,0.05,0.1,17.0
409,2012-03-13,0.0,2.5,0.0
410,2012-03-14,0.0,2.2,0.0
411,2012-03-15,0.0,1.15,4.5
412,2012-03-16,0.05,3.1999999999999997,3.7
413,2012-03-17,36.900000000000006,1.4,2.1
414,2012-03-18,7.75,1.05,1.15
415,2012-03-19,0.65,21.35,1.75
416,2012-03-20,0.0,21.9,1.05
417,2012-03-21,0.0,0.0,4.8
418,2012-03-22,0.0,0.4,6.7
419,2012-03-23,0.25,0.0,8.15
420,2012-03-24,0.05,0.0,0.8500000000000001
421,2012-03-25,20.05,0.0,0.4
422,2012-03-26,1.05,0.0,1.95
423,2012-03-27,0.0,0.2,2.6
424,2012-03-28,0.0,25.95,0.95
425,2012-03-29,0.1,8.9,0.05
426,2012-03-30,0.0,7.3500000000000005,8.95
427,2012-03-31,0.05,0.6,0.0
428,2012-04-01,0.3,0.1,0.4
429,2012-04-02,0.0,5.1,0.3
430,2012-04-03,0.0,12.75,6.25
431,2012-04-04,0.0,0.85,0.0
432,2012-04-05,0.0,0.15,0.0
433,2012-04-06,0.0,0.0,0.0
434,2012-04-07,0.0,0.0,1.3
435,2012-04-08,0.0,3.75,0.4
436,2012-04-09,0.0,1.9,0.15
437,2012-04-10,0.0,0.8,0.0
438,2012-04-11,5.2,0.95,0.0
439,2012-04-12,0.2,1.9,0.0
440,2012-04-13,27.35,3.25,0.3
441,2012-04-14,1.15,1.9500000000000002,0.0
442,2012-04-15,0.0,9.1,37.35
443,2012-04-16,0.0,13.05,10.35
444,2012-04-17,0.0,3.8,0.05
445,2012-04-18,0.0,0.0,7.949999999999999
446,2012-04-19,0.0,0.0,15.700000000000001
447,2012-04-20,0.0,10.55,1.65
448,2012-04-21,0.0,0.25,1.8
449,2012-04-22,0.0,0.0,1.8
450,2012-04-23,0.4,0.0,0.0
451,2012-04-24,0.05,0.0,0.0
452,2012-04-25,1.4,0.1,4.2
453,2012-04-26,2.9,0.0,0.1
454,2012-04-27,0.15000000000000002,0.1,0.05
